judul,abstrak,kategori
Pengembangan Multimedia Pembelajaran Interaktif Untuk Mata Kuliah Organisasi Komputer,"Dalam era Teknologi Informasi penggunaan komputer telah merambah ke segala bidang kehidupan, termasuk dalam dunia pendidikan. Komputer memiliki program-program aplikasi praktis yang dapat dimanfaatkan dan dikembangkan untuk pencapaian tujuan pendidikan. Beberapa orientasi penggunaan komputer dalam dunia pendidikan adalah bagaimana komputer dapat membantu orang untuk belajar, untuk mengajar, dan membantu orang dalam mengelola pendidikan secara umum. Begitu juga dalam pengembangan bahan-bahan atau materi pembelajaran, sebagai alternatif sumber belajar, komputer digunakan untuk mentransfer materi-materi kepada peserta didik atau dalam konteks ini biasa disebut dengan bahan pembelajaran berbasis komputer. Salah satunya adalah pembelajaran mata kuliah Organisasi Komputer. Terkadang mahasiswa kesulitan dalam memahami materi yang memperkenalkan banyaknya jenis-jenis hardware serta pengelompokkannya. Maka perlu dicari metode pembelajaran yang menarik minat mahasiswa untuk lebih tekun mempelajarinya, di antaranya dengan memanfaatkan teknologi komputer. Berdasarkan hal tersebut, pemanfaatan teknologi komputer di bidang pembelajaran berupa CD interaktif dikembangkan atas dasar asumsi bahwa proses komunikasi di dalam pembelajaran akan lebih menarik minat mahasiswa dan memberikan kemudahan untuk memahami materi karena penyajiannya yang interaktif, dengan memanfaatkan berbagai media sebagai sarana penunjang kegiatan pembelajaran. Media interaktif dapat di artikan sebagai kombinasi berbagai unsur media yang terdiri dari teks, grafis, foto, animasi, video, dan suara yang disajikan secara interaktif dalam media pembelajaran.",multimedia
Pengembangan multimedia pembelajaran interaktif menggunakan teknik dinamis pada mata pelajaran produktif teknik komputer dan jaringan untuk siswa SMK kelas X,"Penelitian ini bertujuan untuk menghasilkan produk multimedia pembelajaran interaktif menggunakan teknik dinamis pada mata pelajaran produktif teknik komputer dan jaringan untuk siswa SMK kelas X serta mengetahui tingkat kelayakan dan efektifitas produk multimedia pembelajaran yang dikembangkan. Penelitian ini merupakan penelitian pengembangan atau Research & Development (R&D) diadaptasi dari model pengembangan multimedia for learningdari Alessi and Trollip yang terdiri dari perencanaan, desain, dan pengembangan. Hasil penelitian ini menunjukkan bahwa produk yang dikembangkan layak digunakan sebagai alat bantu pembelajaran. Hasil uji coba pada siswa memperoleh nilai rata-rata 4,34 dengan kategori sangat baik, dengan rincian pada aspek materi memiliki rata-rata 4,33 (sangat baik) dan aspek media memiliki ratarata 4,35 (sangat baik). Peningkatan skor (gain score) rata-rata seluruh siswa dari hasil  pretes dan postes sebesar 0,71 (N-gain > 0,70), hal ini menunjukan bahwa efektivitas pengembangan produk termasuk kategori tinggi.",multimedia
Pengaruh Penggunaan Multimedia Interaktif Berbasis Komputer Model Instructional Games terhadap Peningkatan Prestasi Belajar Siswa pada Mata Pelajaran Fisika,"Penelitian ini bertujuan untuk mengetahui pencapaian prestasi belajar siswa setelah digunakan Physics Instructional Games (PI-games) dalam pembelajaran, efektifitas pembelajaran menggunakan PI-games, serta tanggapan siswa mengenai penggunaan PI-games dalam pembelajaran Fisika. Metode yang digunakan dalam penelitian ini adalah metode eksperimen lemah (weak experimental) dengan desain penelitian the one group pretest-posttest design. Sampel penelitian adalah salah satu kelas X di salah satu SMA Negeri di kota Bandung. Teknik pengumpulan data yang digunakan berupa tes prestasi belajar (pretes dan postes) dan angket. Hasil penelitian yang diperoleh selama tiga pertemuan adalah siswa mengalami peningkatan prestasi belajar sebesar 39,2% untuk pertemuan ke-1; 44,9% untuk pertemuan ke-2; dan 46,8% untuk pertemuan ke-3. Efektifitas pembelajaran pertemuan ke-1 dan ke-2 tergolong sedang, dan pertemuan ke-3 tergolong tinggi. Sebanyak 73,77% siswa memberikan tanggapan yang baik terhadap penggunaan I-games dalam pembelajaran Fisika di kelas. Dapat disimpulkan bahwa prestasi belajar siswa mengalami peningkatan setelah digunakan I-games dalam pembelajaran.",multimedia
Visualisasi Pengumuman dan SOP Fakultas Ilmu Komputer Universitas Katolik Santo Thomas Medan berbasis Multimedia,"Standar Operasional Prosedur (SOP) adalah merupakan kumpulan instruksi yang berfungsi sebagai petunjuk dalam proses penyelenggaraan pemerintahan terkhususnya bagian Fakultas yang ada pada suatu perguruan tinggi. Melalui Standard Operational Procedure (SOP) untuk pencapaian visi dan misinya. Mahasiswa dan Dosen pada kegiatan sehari-hari di Fakultas Ilmu Komputer memiliki fungsi dan tugas, hak serta kewajiban yang harus ditaati agar proses kegiatan akademis perkuliahan berjalan lancar. Mahasiswa yang ada di Fakultas Ilmu Komputer relative lama dalam memahami setiap alur dari setiap prosedur dalam pengumuman, sehingga sering pengumuman yang ada dari pihak Fakultas tidak berjalan sesuai harapan. Yang tidak dipahami adalah bukan bahasa tetapi alur dari prosedur kegiatan. Untuk memahami sesuatu yang lebih baik, maka perlu memberikan suatu gambaran visualisasi berbasis multimedia yang menggambarkan bagian proses dalam menyampaikan informasi atau pengumuman SOP agar sipembaca pengumuman lebih mudah mencerna pengumuman yang disampaikan.",multimedia
PENGEMBANGAN MULTIMEDIA PEMBELAJARAN BERBASIS KOMPUTER MODEL PERMAINAN PADA MATA PELAJARAN EKONOMI DI SMA MUHAMMADIYAH 1 PALEMBANG,"Penelitian ini merupakan penelitian pengembangan yang bertujuan untuk menghasilkan multimedia pembelajaran berbasis komputer model permainan yang valid, praktis, dan mengetahui efektifitas penggunaan multimedia yang dihasilkan terhadap hasil belajar siswa. Model pengembangan yang digunakan adalah model Rowntree yang terdiri dari tiga tahapan, yaitu tahap perencanaan, tahap pengembangan dan tahap evaluasi yang telah dimodifikasi dengan evaluasi formatif Tessmer. Untuk melihat validitas, peneliti menggunakan lembar validasi yang dilakukan pada tahap penilaian para ahli dengan hasil  rata – rata penilaian ahli media sebesar 78% dengan kategori Baik  dan rata – rata penilaian ahli materi sebesar 92% dengan kategori Sangat Baik. Untuk melihat praktikalitas, dilakukan pada tahap uji  satu satumelalui wawancara dengan hasil persentase sebesar 85% dan kelompok kecil menggunakan lembar kuisioner dengan hasil rata – rata tanggapan siswa sebesar 90% dengan kategori Sangat Baik. Sedangkan untuk melihat efektifitas dilakukan pada tahap uji luas dengan menggunakan tes hasil belajar  awal dan tes hasil belajar akhir. Field Test dalam penelitian ini dilakukan di Laboratorium Komputer 2 SMA Muhammadiyah 1 Palembang dengan jumlah siswa sebanyak 26 Orang dan hasil persentase peningkatan nilai tuntas sebesar 53,9% serta total rata – rata nilai yang tuntas sebesar 88,5% telah melewati kriteria ketuntasan klasikal sebesar 85%, sehingga penggunaan Multimedia yang dihasilkan termasuk kategori efektif. Hasil penelitian menunjukkan bahwa multimedia pembelajaran berbasis komputer model permainan yang dihasilkan telah valid, praktis serta efektif pada mata pelajaran Ekonomi dan dapat dijadikan alternatif dalam proses pembelajaran",multimedia
PENGEMBANGAN GAME SEBAGAI MEDIA EVALUASI PEMBELAJARAN PADA MATA PELAJARAN PERAKITAN KOMPUTER KELAS X JURUSAN MULTIMEDIA,"Penelitian dan pengembangan ini didasari oleh belum tersedianya sarana media evaluasi pembelajaran. Kebanyakan siswa merasa gugup saat melaksanakan evaluasi pembelajaran dikarenakan tidak adanya media yang menarik dan menyenangkan untuk menunjang evaluasi pembelajaran mengakibatkan evaluasi menjadi hal yang ditakuti atau membuat siswa menjadi gugup. Model pengembangan sistem mengadopsi model ADDIE. Terdapat lima tahapan penting dalam model ADDIE, yaitu (1) Analysis, (2) Design, (3) Development, (4) Implementation, (5) Evaluation. Media Game Evaluasi ini menyediakan fitur kuis dan dilengkapi dengan permainan yang dapat digunakan sebagai penyegaran saat proses pembelajaran. Validasi media game evaluasi pembelajaran dilakukan oleh ahli media, ahli materi, uji skala kecil, dan uji skala luas. Hasil nilai rata-rata validasi media oleh ahli media dan ahli materi sebesar 95,24%, nilai rata-rata validasi media uji skala kecil sebesar 92,8%, dan uji skala luas sebesar 91,60%. Dari hasil yang diperoleh menunjukkan bahwa media game evaluasi pembelajaran yang dikembangkan valid dan layak digunakan sebagai media dalam proses evaluasi pembelajaran. Uji lapangan operasional dilakukan di kelas X MM 2 SMKN 5 Malang selama empat kali pertemuan dengan proses belajar menggunakan media pembelajaran game evaluasi. Pada hasil belajar siswa menunjukkan peningkatan nilai rata-rata dari pre test ke post test oleh 36 siswa, dengan nilai rata-rata pre test adalah 33,15 dan nilai rata-rata post test adalah 78,31. Hal ini menunjukkan bahwa media game evaluasi pembelajaran yang dikembangkan efisien digunakan dalam proses pembelajaran dan evaluasi Perakitan Komputer.",multimedia
Pengembangan multimedia pembelajaran menginstalasi perangkat jaringan lokal pada mata pelajaran produktif kelas X SMK Program Keahlian Teknik Komputer Jaringan,Pengembangan Multimedia Pembelajaran Menginstalasi Perangkat Jaringan Lokal pada Mata Pelajaran Produktif Kelas X SMK Program Keahlian Teknik Komputer Jaringan. Skripsi Program Studi Pendidikan Teknik Informatika Jurusan Teknik Elektro Fakultas Teknik Universitas Negeri Malang. Pembimbing (I) Dr. Ir. H. Syaad Patmanthara M.Pd. (II) Ahmad Fahmi S.T. M.T. Kata kunci Pengembangan Multimedia Pembelajaran Menginstalasi Perangkat Jaringan Lokal Teknik Komputer Jaringan Menginstalasi Perangkat Jaringan Lokal merupakan salah satu standar kompetensi yang ada di SMK jurusan Teknik Komputer Jaringan. Dalam proses pembelajaran Menginstalasi Perangkat Jaringan Lokal menjadi tidak efektif dan efisien apabila hanya dilakukan dengan metode ceramah dan berbasis modul. Pengembangan multimedia pembelajaran membantu siswa agar lebih termotivasi dalam belajar dan dapat memahami materi pelajaran yang telah disampaikan sehingga tujuan dari pembelajaran dapat tercapai. Tujuan dari penelitian ini adalah (1) Merancang multimedia pembelajaran Menginstalasi Perangkat Jaringan Lokal program keahlian Teknik Komputer Jaringan di tingkat SMK (2) Mengembangkan multimedia pembelajaran Menginstalasi Perangkat Jaringan Lokal untuk siswa kelas X program keahlian Teknik Komputer Jaringan di tingkat SMK dan (3) Menguji kelayakan multimedia pembelajaran Menginstalasi Perangkat Jaringan Lokal kelas X program keahlian Teknik Komputer Jaringan di tingkat SMK. Penelitian ini menggunakan rancangan penelitian dari Sugiyono (2011). Langkah-langkah pengembangan menurut Sugiyono (2008 298) terdiri dari 10 langkah yaitu (1) potensi dan masalah (2) mengumpulkan informasi (3) desain produk (4) validasi desain (5) perbaikan desain (6) uji coba produk (7) revisi produk (8) uji coba pemakaian (9) revisi produk dan (10) pembuatan produk masal. Hasil secara keseluruhan dari pengembangan multimedia pembelajaran Menginstalasi Perangkat Jaringan Lokal Kelas X di SMK PGRI 3 Malang didapat persentase tingkat kelayakan 91 4% dan dinyatakan sangat valid. Keseluruhan hasil yang didapat adalah berdasarkan data kuantitatif dan kualitatif dari validasi para ahli dan uji coba kelayakan siswa Kelas X (sepuluh). Hasil validasi ahli media di dapat persentase tingkat kelayakan 91 3% dan dinyatakan sangat valid. Hasil validasi ahli materi di dapat persentase tingkat kelayakan 92 6% dan dinyatakan sangat valid.Hasil uji coba siswa yang dilakukan oleh siswa kelas X di SMK PGRI 3 Malang di dapat persentase tingkat kelayakan 90 3% dan dinyatakan sangat valid.,multimedia
Pengembangan Media Pembelajaran Perakitan Komputer Berbasis Multimedia 3D Pada Mata Pelajaran Perakitan Komputer Untuk Siswa Kelas X Jurusan TKJ di SMK Negeri 1 Pacitan,"Mata pelajaran perakitan komputer merupakan salah satu mata pelajaran yang membutuhkan media atau alat bantu pembelajaran. Untuk itu diperlukan pengembangan sebuah media pembelajaran yang mendukung. Tujuan penelitian ini adalah untuk mengetahui bagaimana respon siswa dan hasil belajar siswa setelah menggunakan media pembelajaran perakitan komputer berbasis multimedia 3D.Penelitian ini menggunakan pendekatan penelitian pengembangan yang diadopsi dari langkah-langkah menurut Borg & Gall. Instrumen penelitian menggunakan instrumen non-tes yaitu angket/kuesioner dan instrumen tes yaitu tes pada media dan lembar essay. Instrumen telah diuji validitasnya sebelum digunakan pada penelitian. Pengolahan data penelitian dilakukan dengan cara menghitung hasil validasi instrumen, respon siswa dan hasil belajar siswa dalam kriteria persentase yang diadopsi dari Sugiyono kemudian hasilnya dijelaskansecara deskriptif.Dari penelitian yang telah dilakukan didapatkan data hasil penelitian yang menunjukkan bahwa rata-rata presentase nilai responden terhadap angket motivasi siswa adalah sebesar 88%. Hal tersebut menunjukkan bahwa respon siswa sangat baik. Untuk hasil belajar peserta didik mendapatkan rata-rata skor tes sebesar 3.57 (A-) dan ketuntasan kelas sebesar 100%.",multimedia
PENGEMBANGAN MEDIA PEMBELAJARAN JARINGAN KOMPUTER MENGGUNAKAN SOFTWARE MULTIMEDIA ADOBE FLASH CS6,"Lembaga Pendidikan merupakan tempat mempersiapkan mahasiswa dalam bidang akademik, dan juga memiliki keterampilan yang tepat bagaimana belajar, beradaptasi dan berinovasi sehingga pembelajaran  berbasis multimedia memiliki peran yang sangat signifikan untuk menciptakan  keterampilan mahasiswa dalam matakuliah jaringan komputer dan dengan media pemebelajaran ini mahasiswa dapat mengulang pelajarannya secara mandiri tanpa dibatasi tempat dan waktu. Penelitian ini merupakan penelitian pengembangan yang menggunakan model prosedural yang terdiri dari 4 tahapan yaitu: (1) analisis Kebutuhan media pembelajaran, (2) Perancangan  media pembelajaran, (3) Pembuatan media pembelajaran  dan (4) Evaluasi serta validasi media pembelajaran. Sehingga hasil akhir dari media pembelajaran jaringan komputer ini dapat dijalankan dengan hasil pengujian materi-materi pada halaman media pembelajaran didapatkan  hasil baik dari hasil evaluasi akhir media pembelajaran jaringan komputer.",multimedia
PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS MULTIMEDIA INTERAKTIF AUTOPLAY DALAM MATERI MENERAPKAN ELEKTRONIKA DASAR PADA MATA PELAJARAN SISTEM KOMPUTER DI SMK NEGERI 1 TEJAKULA,"Penelitian ini bertujuan 1) membuat media pembelajaran berbasis multimedia interaktif autoplay dalam materi menerapkan elektronika dasar pada mata pelajaran sistem komputer di SMK Negeri 1 Tejakula, 2) untuk mengetahui tingkat kelayakan terhadap media Pembelajaran Berbasis Multimedia Interaktif Autoplay dalam materi Menerapkan Elektronika Dasar pada Mata Pelajaran Sistem Komputer di SMK Negeri 1 Tejakula, 3) untuk mengetahui respon siswa terhadap Media Pembelajaran Berbasis Multimedia Interaktif Autoplay dalam materi Menerapkan Elektronika Dasar pada Mata Pelajaran Sistem Komputer di SMK Negeri 1 Tejakula. Penelitian ini menggunakan metode penelitian dan pengembangan atau lebih dikenal dengan Research and Development. Berdasarkan hasil penelitian yang telah dilaksanakan, diperoleh beberapa hasil yaitu: (1) hasil akhir dari media pembelajaran berbasis multimedia interaktif autoplay dalam materi menerapkan elektronika dasar pada mata pelajaran sistem komputer di SMK Negeri 1 Tejakula berupa CD interaktif, (2) hasil dari uji ahli mendapatkan hasil persentase untuk ahli materi 86,15% pada kualifikasi sangat layak dan, hasil persentase untuk ahli media 97,78% kualifikasi sangat layak, (3) respons siswa mendapatkan hasil persentase untuk uji kelompok kecil 87,47% pada kualifikasi sangat baik, dan hasil persentase uji kelompok besar 88,11% pada kualifikasi sangat baik. Berdasarkan hasil yang didapatkan, maka Media Pembelajaran Berbasis Multimedia Interaktif Autoplay dalam Materi Menerapkan Elektronika Dasar pada Mata Pelajaran Sistem Komputer di SMK Negeri 1 Tejakuka, layak digunakan sebagai media pembelajaran.",multimedia
