judul-jurnal,abstrak-jurnal,kategori
Pengolahan Citra Berbasis Deteksi Tepi Prewitt Pada Gambar Gigi Manusia," Gambar gigi adalah
salah satu jenis citra yang penting dalam dunia kesehatan yang digunakan untuk
mengidentifikasi berbagai penyakit dan kerusakan yang terjadi pada gigi.
Permasalahan yang terjadi adalah tidak semua gambar tersebut berkualitas baik,
sehingga diperlukan adanya perbaikan citra untuk mengatasi permasalahan
tersebut.Operasi pengolahan citra adalah operasi yang dilakukan untuk
mentransformasikan suatu citra menjadi citra lain. Berdasarkan tujuan
transformasi operasi pengolahan citra dikategorikan sebagai berikut :
Peningkatan Kualitas Citra (Image Encachement) dan Pemulihan Citra (Image
Restoration). Pada proses Image Enhancement, kulitas citra dari derau/noise
diperbaiki sehingga mudah diintrepertasikan oleh manusia ataupun mesin. Salah
satu contoh dari noise adalah citra kabur (blur). Algoritma Prewitt yaitu
konversi citra true color ke grayscale, x Prewitt, y Prewitt, Gradien
Magnitudo, lalu perhitungan MSE dan PSNR 
Dari perhitungan MSE dan PSNR dapat kita simpulkan bahwa algoritma
Prewitt menghasilkan MSE dan PSNR yang berbeda – beda untuk setiap kasus,
dimana tingkat MSE dan PSNR digunakan untuk mengukur kualitas citra.",pengolahan citra
Identifikasi Kualitas Beras dengan Citra Digital," Beras merupakan
makanan pokok yang paling banyak di konsumsi oleh masyarakat Indonesia. Namun,
harga beras di pasaran justru semakin melonjak, sehingga banyak beredar beras
yang memiliki kualitas kurang baik. Oleh karena itu perlu adanya standar
kualitas mutu dari pihak gudang beras saat mendistribusikan beras ke pasaran.
Standar pengujian kualitas dari pihak Bulog terdapat dua tahap, yaitu uji
laboratorium dan uji visual. Namun, pengujian secara visual selama ini masih
dilakukan secara manual sehingga masih sering terjadi kesalahan karena
terbatasnya penglihatan manusia dan subjektivitas penguji. Oleh karena itu,
sistem pengujian secara visual dengan citra digital dapat menjadi solusi yang
efektif untuk permasalahan tersebut. Proses pengujian dapat dilihat dari nilai
putih, nilai bersih, dan nilai utuh beras yang diakuisisi melalui pengolahan
citra digital. Proses akuisisi nilai bersih dan putih dilakukan dengan
menganalisis nilai HSV (Hue, Saturation, Value), sedangkan nilai utuh dilakukan
dengan menganalisis luas region area objek. Sebelumnya, dilakukan training
terhadap 30 data untuk mendapatkan decision tree dengan model ID3 (Iterative
Dichotomiser Tree). Data yang telah diakuisisi kemudian diklasifikasi ke dalam
3 kelas yaitu baik, kurang dan buruk dengan menggunankan aturan dari decision
tree yang dihasilkan pada proses training. Hasil pengujian dengan metode k-fold
cross validation dengan k=5 didapatkan akurasi sebesar 96.67%.",pengolahan citra
PENGOLAHAN CITRA DIGITAL DENGAN TRANSFORMASI WAVELET DOUBECHIS," Citra merupakan
dimensi spatial berisi informasi warna dan tidak bergantung waktu. Transformasi
citra merupakan proses perubahan bentuk citra untuk mendapatkan suatu informasi
tertentu (fiture) yang tidak tersedia sebelumnya, salah satunya adalah transformasi
wavelet. Wavelet merupakan fungsi matematis yang mampu mengelompokkan energi
citra terkosentrasi pada sekelompok kecil koefisien, sedangkan kelompok
koefisien lainnya hanya mengandung sedikit energi yang dapat dihilangkan.
Penelitian ini bertujuan untuk meneliti tingkat keakuratan informasi hasil
transformasi pada citra menggunakan jenis wavelet Daubechies 5/3. Hasil
pengujian, dapat dilihat bahwa transformasi citra dengan wavelet Daubechies 5/3
semakin tinggi level dekomposisi maka citra yang dihasilkan semakin akurat.",pengolahan citra
DETEKSI PENYAKIT KEPALA PERMANEN MELALUI SKETSA FIGUR MANUSIA MENGGUNAKAN PENGOLAHAN CITRA DIGITAL," Sketsa  figur 
manusia  merupakan  potret 
diri  secara  psikologi 
kepribadian  maupun  psikologi 
klinis.  Secara psikologi klinis
sketsa figur manusia digunakan untuk mendeteksi berbagai macam gangguan
kesehatan, salah satunya adalah penyakit kepala permanen.",pengolahan citra
PERBANDINGAN EKSTRAKSI CIRI PADA DATA MAMMOGRAM UNTUK IDENTIFIKASI MIKROKALSIFIKASI," Salah satu cara untuk
mendeteksi ada tidaknya kanker pada payudara adalah dengan mammografi. Pada
penelitian ini, dilakukan pengenalan pola dengan klasifikasi massa, jinak, dan
ganas pada data mammogram. Namun data mammogram memiliki noise dan struktur
patologis yang tidak teratur sehingga perlu dilakukan pengolahan citra terlebih
dahulu. Tahapan pengolahan citra yang dilakukan antara lain: preprocessing,
segmentasi, dan ekstraksi ciri. Pada tahap preprocessing dilakukan perbaikan
kualitas citra dengan operasi CLAHE (Contrast Limited Adaptive Histogram
equalization) dan tahap segmentasi dilakukan dengan metode OTSU. Sedangkan
tahap ekstraksi ciri, ada 3 metode yang diperbandingkan yaitu Discreate Wavelet
Transformation (DWT), Gray Level Co-occurance Matrix (GLCM), dan Gabor Wavelet
(GW). Setelah pengolahan citra dilakukan, tahap selanjutnya adalah pengenalan
pola dengan klasifikasi menggunakan metode Jaringan Syaraf Tiruan
(JST)-Lavenberg Marquard (LM). Dari uji coba yang telah dilakukan dengan
klasifikasi JST, hasil terbaik dari testing dengan data training diperoleh pada
data mammogram dengan ekstraksi ciri menggunakan Gabor Wavelet. Sedangkan
testing dengan data testing menunjukkan hasil yang tidak stabil. Hal ini
dikarenakan adanya diversifikasi data yang besar, baik pada ukuran mau pun
struktur patologis dari mammary.",pengolahan citra
IMPLEMENTASI JARINGAN SYARAF TIRUAN BACKPROPAGATION SEBAGAI SISTEM PENGENALAN CITRA DAGING BABI DAN CITRA DAGING SAPI," Jaringan Syaraf
Tiruan (JST) merupakan salah satu teknik klasifikasi yang cukup handal
dikarenakan kemampuannya dalam memprediksi ataupun mengenali suatu citra.JST
mampu belajar dari data yang dilatihkan kepadanya.Oleh karena itu, penelitian
ini membahas tentang sistem pengenalan citra daging babi dalam upaya mengenali
citra daging babidan citra daging sapi.Penelitian ini memanfaatkan sensitivitas
dari JST backpropagation dan pengolahan citra digital dengan Principal
Component Analysis(PCA) sebagai pengekstraksi ciri dari sebuah citra.Hasil
pengujian menunjukkan bahwa dengan adanya variasi jumlah neuron hidden layerdan
learning ratedalam arsitektur JST untuk mendapatkan arsitektur jaringan yang
optimal. Dari hasil pengujian diperoleh recognition rate88,3 % dengan parameter
arsitektur jaringan learning rate: 0,2, jumlah neuron hidden layer: 20, target
eror: 0,001, dan jumlah epoh: 100.",pengolahan citra
DESAIN DAN SIMULASI ARITHMETIC LOGIC UNIT DENGAN VHDL UNTUK PROCESSOR ELEMENT RISC ARSITEKTUR PARALEL PENGOLAHAN CITRA LAPCAM," Sebuah konsep baru
arsitektur paralel untuk pengolahan citra LAPCAM (Linear Array of Processor
with Content Addressable Memory), sedang dikembangkan. LAPCAM terdiri dari tiga
komponen utama, yaitu Processor Element (PE), Memori MAM, dan Jaringan
interkoneksi OAC. Arsitektur LAPCAM, mempunyai feature yang optimal antara
jumlah Processor Element (PE) dan kecepatan eksekusi. Selain itu LAPCAM
mempunyai jenis memori dan jaringan interkoneksi yang baru, MAM (Multi-mode
Access Memory) dan OAC (Orthogonal Addressable Crossbar). Element yang unik ini
menjadikan LAPCAM sebagai suatu arsitektur paralel yang optimal untuk berbagai
macam permasalahan pengolahan citra. Dalam tulisan ini, akan dikupas secara
rinci, disain dari sebuah Arithmetic Logic Unit (ALU) yang merupakan bagian
terpenting dari Processor Element (PE), dengan menggunakan VHSIC Hardware
Description Language (VHDL). Simulasi akan dikerjakan menggunakan Software
Max+plus II dari ALTERA. Dari hasil simulasi diperlihatkan bahwa keluaran WR_C
dan WR_Z hanya akan aktif pada instruksi-instruksi ADD dan SUB saja.",pengolahan citra
PENGEMBANGAN PERANGKAT LUNAK APLIKASI KOREKSI LEMBAR JAWAB BERBASIS PENGOLAHAN CITRA DI SMK NU HASYIM ASY’ARI TARUB DAN SMKN 1 ADIWERNA," Penelitian Tugas
Akhir Skripsi ini bertujuan untuk mengembangkan dan mengetahui kelayakan
perangkat lunak aplikasi pada Program Keahlian Teknik Kendaraan Ringan di SMK
NU Hasyim Asy’ari Tarub dan SMKN 1 Adiwerna Kabupaten Tegal. Metode penelitian
yang digunakan adalah metode penelitian dan pengembangan ADDIE yang dikemukakan
oleh William dan Diana yaitu Analysis, Design, Development, Implementation dan
Evaluation. Pada langkah development, difokuskan pada pengembangan perangkat
lunak aplikasi koreksi lembar jawab berbasis pengolahan citra menggunakan
teknik grayscale, tresholding dan cropping yang didasarkan pada kaidah rekayasa
perangkat lunak The Linear Sequential Model 
yaitu analysis, design, code dan test. Pada langkah implementation,
hasil pengembangan produk diimplementasikan dengan melibatkan responden 30 guru
program keahlian Teknik Kendaraan Ringan di SMK NU Hasyim Asy’ari Tarub dan
SMKN 1 Adiwerna Kabupaten Tegal. Hasil penilaian diketahui bahwa kelayakan
aplikasi ditinjau pada (1) Aspek correctness mendapatkan jumlah rerata skor 6,9
dengan kategori sangat baik; (2) Aspek integrity  mendapatkan jumlah rerata skor 2,0 dengan
kategori sangat baik; (3) Aspek reliability mendapatkan jumlah rerata skor 27,0
dengan kategori sangat baik; (4) Aspek usability mendapatkan jumlah rerata skor
52,8 dengan kategori sangat baik. Total penilaian semua aspek mendapatkan
jumlah skor rerata 88,7 dengan kategori sangat baik sehingga perangkat lunak
aplikasi ini layak digunakan di SMK NU Hasyim Asy’ari Tarub dan SMKN 1
Adiwerna.",pengolahan citra
ANALISIS ENKRIPSI CITRA DIGITAL MENGGUNAKAN ALGORITMA LOGISTIC MAP DENGAN ALGORITMA KOMPRESI LAMPEL-ZIV-WELCH (LZW)," Penggunaan data
berupa file citra sudah semakin luas diberbagai bidang. Oleh karena itu
pengamanan terhadap file citra dari akses orang-orang yang tidak berhak menjadi
hal yang penting. Berbagai macam teknik untuk mengamankan data atau informasi
telah banyak dikembangkan salah satunya adalah teknik kriptografi. Selain dari
segi keamanan, yang perlu diperhatikan jika bekerja dengan file citra adalah
ukuran file yang dominan besar. Teknik kriptografi dan teknik kompresi menjadi
hal penting didalam pengolahan citra. Algoritma Logistic Map merupakan
algoritma berbasis Chaos yang mempunyai sensitivitas yang dapat diandalkan
didalam mengenkripsi citra. Lempel Ziv Welch merupakan algoritma kompresi yang
bersifat loseless yang dapat mengkompresi citra tanpa ada kehilangan unsur
pixel didalamnya atau citra hasil kompresi identik dengan citra aslinya. Citra
akan di enkripsi terlebih dahulu baru kemudian dilakukan teknik kompresi dengan
algoritma Lempel Ziv Welch. Hasil kompresi yang dihasilkan tidak lagi dalam
bentuk gambar tetapi dalam bentuk file dengan ekstensi *.mat. Perbedaan format
file dari citra menjadi file yang bukan citra dapat membantu menghindari
perhatian kriptanalisis.",pengolahan citra
Penerapan Laptop-based Robot Sebagai Pramusaji Restoran," Penelitian ini
bertujuan untuk menghasilkan sebuah purwarupa robot pramusaji restoran dengan
metode pengolahan citra. Robot berbasis visual akan menggantikan penggunaan
sensor infra merah melalui penggunaan sebuah kamera untuk mengikuti alur garis
tertentu. Karena pengolahan citra yang bersifat kompleks, pemrosesan citra akan
menggunakan laptop (laptop-based robot). Perangkat lunak MATLAB yang terinstal
pada laptop akan digunakan untuk memproses citra. Berdasarkan hasil pememrosesan
MATLAB, sebuah mikrokontroler digunakan sebagai pengontrol navigasi robot.
Robot ini didesain agar dapat mengenali meja pelanggan sesuai dengan input dari
operator. Metode penelitian yang digunakan pada robot visi ini adalah penentuan
nilai tengah (centroid) pada lintasan yang tertangkap kamera. Mekanika robot
didesain menggunakan pipa PVC yang memiliki keuntungan dalam hal kemudahan
dalam merekonstruksi dan memiliki bobot yang ringan. Berdasarkan hasil
percobaan, diperoleh hasil bahwa robot dapat mengikuti garis dan mengenali meja
yang dituju. Namun demikian, pergerakan robot masih perlu diperbaiki, terutama
dalam kecepatan pergerakan atau navigasi robot.",pengolahan citra
PERANCANGAN MODEL PENGUKURAN JARAK MENGGUNAKAN COMPUTER-AIDEDPADA KONTROL KUALITAS ULTRASONOGRAFI," Penelitian ini
bertujuan untuk melakukan uji kualitas USG dengan melakukan komputasi penghitungan
jarak pada citra USG dan melakukan analisis pengukuran jarak. Perancangan dan implementasi
penelelitian ini menggunakan metode pengolahan citra digital untuk melakukan komputasi
dan melakukan analisis pengukuran. Nilai citra dilakukan variasi attenuasi, TGC
dan depth. Pada variasi depth (kedalaman) rata-rata jarak real pada phantom USG
adalah 1 cm, ratarata nilai akurasi jarak vertikal yang diperoleh pada citra
adalah 0.9747 cm sehingga nilai kesalahan untuk akurasi jarak vertikal adalah
0.0253 cm atau 0.253 mm atau 0.253 % dan ratarata nilai akurasi jarak
horizontal yang diperoleh citra adalah 2x10-3 atau 0.02 mm atau 0.02
% dari jarak yang sebenarnya. Untuk variasi atenuasi rata-rata akurasi jarak
vertikal yang diperoleh citra adalah 0.967 cm sehingga nilai kesalahan jarak
vertikal 0.033 cm atau 0.33 mm atau 0.33 %, nilai rata-rata jarak horizontal
yang diperoleh adalah 0.986 cm sehingga nilai kesalahan jarak horizontal adalah
0.014 cm atau 0.14 mm atau 0.14 %. nilai akurasi jarak vertikal yang diperoleh
citra yaitu 0.969 cm sehingga nilai kesalahan jarak vertikal adalah 0.031 cm
atau 0.31 mm atau 0.31 % dari jarak sebenarnya. Dari hasil semua komponen uji menunjukkan
bahwa USG yang diuji memenuhi kualifikasi kriteria The American Association of Physicists
in Medicine (AAPM).",pengolahan citra
